Name,Function,Completed,Code,Map Num,Address,Picture,MStartTime,TStartTime,WStartTime,ThStartTime,FStartTime,SaStartTme,SuStartTime,MEndTime,TEndTime,WEndTime,ThEndTime,FEndTime,SaEndTme,SuEndTime,Website
MacAlister Hall; College of Arts and Sciences; Pennoni Honors College; Educational Activiites Center,Humanities and Social Science,1973,MACALS,9B,3250 Chestnut St,http://www.pages.drexel.edu/~jef22/myweb4/ext5.JPG,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,
Main Building,Administration,1891,MAIN,1,3141 Chestnut St,http://drexel.edu/~/media/Images/coresite/backgrounds/pt3/General/main-building.ashx,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,
Mandell Theater,Performance,1973,MNDELL,9A,3201 Chestnut Street,http://drexel.edu/~/media/Images/performingArts/About/Facilities/Mandell%20Theater/Mandell%20Theater.ashx?h=300&w=570&hash=DE6D4FAEBBB3CC119D45C0CCEB5961F58FFCDBB0,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,http://drexel.edu/performingarts/about/facilities/mandell-theater/
Nesbitt Hall; Dornsife School of Public Health; Nesbitt,Home Economics,1970,NSBITT,13,3215 Market St,http://digm.drexel.edu/acelab/wp-content/uploads/2016/02/Nesbitt_Exterior-2015_04_29_4x3.jpg,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,
Pearlstein Business Learning Center; Close School of Entrepreneurship; Pearlstein,Business,2002,PEARL,53,3218 Market Street,https://www2.lebow.drexel.edu/support/podcast/jpg/Building_thumbnail.jpg,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,
Constantine N. Papadakis Integrated Sciences Building; Papadakis Integrated Sciences Building; Papadakis,Academic,2011,PISB,58,3141 Chestnut St,http://drexel.edu/~/media/Images/now/release_images/September%202012/PISB_Exterior_crop.ashx,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,http://drexel.edu/coas/academics/departments-centers/biology/Papadakis-Integrated-Sciences-Building/
Neuropsychology Laboratory; PSA Building; Psych-Soc-Anthro,Research,1977,PSA,47,33rd and Powelton Streets,,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,
Paul Peck Problem Solving and Research Building; Academic Building,Administration,1988,PSRC,55,101 N 33rd St,,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,
Randell Hall,Engineering,1901,RANDEL,2,3141 Chestnut St,,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,
Rush Building; College of Computing & Informatics; CCI Building,Information Science and Technology; Library Science,1961,RUSH,10,30 N 33rd St,http://drexel.edu/~/media/Images/cci/Facilities/rush.ashx?h=324&w=570&hash=5933ACFA25EADC7F9533F7CC7C461C1C30ACBBA0,7:30 a.m.,7:30 a.m.,7:30 a.m.,7:30 a.m.,7:30 a.m.,8 a.m.,12 a.m.,9:30 p.m.,9:30 p.m.,9:30 p.m.,9:30 p.m.,9:30 p.m.,6:00 p.m.,5:00 p.m.,http://drexel.edu/cci/about/our-facilities/rush-building/
Stratton Hall,Biological Sciences,1955,STRATN,5,3141 Chestnut St,,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,
University Crossings;Clc,Computer Science; Cinema and Television,2002,UCROSS,89,3175 John F Kennedy Blvd,http://drexel.edu/~/media/Images/cci/Facilities/university-crossings-bridge.ashx?h=358&w=600&hash=25FE0B281E5C81F4B1432E2DB98480F075447F33,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,7:00 a.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,9:00 p.m.,http://drexel.edu/cci/about/our-facilities/university-crossings/
URBN Center; Westphal College of Media Arts & Design; Westphal,Media Arts and Design,2009,URBN,71,35th and Market Streets,http://drexel.edu/~/media/Images/now/release_images/October%202011%20photos/URBN%20Center%20image.ashx?h=280&w=270&hash=2B29A1732D7047A4B580B3BA4C19CFABB1A1CCA8,12:00 a.m.,12:00 a.m.,12:00 a.m.,12:00 a.m.,12:00 a.m.,12:00 a.m.,12:00 a.m.,12:00 p.m.,12:00 p.m.,12:00 p.m.,12:00 p.m.,12:00 p.m.,12:00 p.m.,12:00 p.m.,http://drexel.edu/westphal/about/overview/making_spaces/WestphalPrintCenter/
Creese Student Center; Drexel Activities Center; Creese,Student Center,1962,,8,3210 Chestnut St,,7:00 a.m,7:00 a.m,7:00 a.m,7:00 a.m,7:00 a.m,10:00 a.m,3:00 p.m,10:00 p.m.,10:00 p.m.,10:00 p.m.,10:00 p.m.,7:00 p.m.,8:00 p.m.,9:00 p.m.,http://drexel.edu/campusservices/studentCenters/creeseCenter/
